WKT,name,region
POINT (-1.5766 6.6699),Kumasi Centre for Collaborative Research in Tropical Medicine,Ashanti
POINT (-2.6945 7.9563),Sampa Government Hospital,Brong-Ahafo
POINT (-0.2308 5.5748),Kaneshie Polyclinic,Greater Accra
POINT (-0.1988 5.5616),Greater Accra Regional Hospital,Greater Accra
POINT (-0.1833 5.5885),37 Military Hospital,Greater Accra
POINT (-0.2896 5.5647),Weija Gbawe Municipal Hospital,Greater Accra
POINT (-0.8608 10.809),Bolgatanga Regional Hospital,Upper East
POINT (-0.1833 5.6342),Noguchi Memorial Institute for Medical Research,Greater Accra
POINT (-0.178 5.6513),University Hospital Legon,Greater Accra
POINT (-0.1859 5.6325),University of Ghana Medical Centre,Greater Accra
POINT (-0.1574 5.6643),Pentecost Hospital,Greater Accra
POINT (-0.1992 5.5485),1 Medical Reception Station,Greater Accra
POINT (-0.1201 5.603),Lekma Hospital,Greater Accra
POINT (-0.2612 5.6295),BJ Medical Centre,Greater Accra
